time,node_id,x,P(Pa),P(MPa),v,T(C),visc(cSt),rho
25.500000,34,34693.877551,2917928.869456,2.917929,0.880313,39.993974,31.434913,834.221396
25.500000,35,35714.285714,2856719.850793,2.856720,0.880327,39.991927,31.434913,834.185921
25.500000,36,36734.693878,2795512.448331,2.795512,0.880340,39.993766,31.434913,834.147755
25.500000,37,37755.102041,2734306.837295,2.734307,0.880352,39.992128,31.434913,834.112002
25.500000,38,38775.510204,2673102.920309,2.673103,0.880363,39.993570,31.434913,834.074116
25.500000,39,39795.918367,2611900.930172,2.611901,0.880373,39.992316,31.434913,834.038102
25.500000,40,40816.326531,2550700.829611,2.550701,0.880382,39.993387,31.434913,834.000479
25.500000,41,41836.734694,2489502.818035,2.489503,0.880390,39.992492,31.434913,833.964222
25.500000,42,42857.142857,2428306.823775,2.428307,0.880397,39.993215,31.434913,833.926846
25.500000,43,43877.551020,2367113.047837,2.367113,0.880403,39.992657,31.434913,833.890361
25.500000,44,44897.959184,2305921.460646,2.305921,0.880409,39.993055,31.434913,833.853217
25.500000,45,45918.367347,2244732.250837,2.244732,0.880413,39.992811,31.434913,833.816520
25.500000,46,46938.775510,2183545.377109,2.183545,0.880416,39.992905,31.434913,833.779593
25.500000,47,47959.183673,2122361.025985,2.122361,0.880419,39.992954,31.434913,833.742699
25.500000,48,48979.591837,2061179.175407,2.061179,0.880420,39.992766,31.434913,833.705973
25.500000,49,50000.000000,2000000.000000,2.000000,0.880421,39.993087,31.434913,833.668897
30.500000,0,0.000000,5000000.000000,5.000000,0.905104,40.000000,31.434913,835.473157
30.500000,1,1020.408163,4938725.873910,4.938726,0.905105,39.983483,31.434913,835.447639
30.500000,2,2040.816327,4877454.075127,4.877454,0.905106,39.999225,31.434913,835.399721
30.500000,3,3061.224490,4816185.123378,4.816185,0.905108,39.984234,31.434913,835.373149
30.500000,4,4081.632653,4754918.385295,4.754918,0.905111,39.998495,31.434913,835.326266
30.500000,5,5102.040816,4693654.338295,4.693654,0.905115,39.984940,31.434913,835.298702
